944	24483	
945	24620	
946	24575	
947	24438	
948	24767	
949	24662	
950	24480	
951	24845	
952	24426	
953	24602	
954	24587	
955	24751	
956	24566	
957	24557	
958	24608	
959	24470	
960	24357	
961	24390	
962	24517	
963	24423	
964	24519	
965	24421	
966	24409	
967	24463	
968	24729	
969	24813	
970	24701	
971	24634	
972	24347	
973	24283	
974	24621	
975	24713	
976	24433	
977	24475	
978	24235	
979	24393	
980	24587	
981	24319	
982	24634	
983	24677	
984	24543	
985	24413	
986	24566	
987	24569	
988	24897	
989	24624	
990	24701	
991	24814	
992	24682	
993	24777	
994	24434	
995	24601	
996	24764	
997	24609	
998	24892	
999	24494	
1000	24772	
1001	24702	
1002	24830	
1003	24546	
1004	24386	
1005	24716	
1006	24688	
1007	24605	
1008	24695	
1009	24367	
1010	24507	
1011	24451	
1012	24641	
1013	24746	
1014	24551	
1015	24852	
1016	24611	
1017	24699	
1018	24458	
1019	24688	
1020	24926	
1021	24878	
1022	24663	
1023	24774	
1024	24665	
1025	24711	
1026	24554	
1027	24679	
1028	24563	
1029	24592	
1030	24557	
1031	24800	
1032	24615	
1033	24763	
1034	24740	
1035	24369	
1036	25034	
1037	24839	
1038	24527	
1039	24664	
1040	24629	
1041	24822	
1042	24945	
1043	24527	
1044	24605	
1045	24677	
1046	24578	
1047	24754	
1048	24663	
1049	24590	
1050	24884	
1051	24555	
1052	25106	
1053	24936	
1054	24691	
1055	24992	
1056	24774	
1057	24588	
1058	24927	
1059	24422	
1060	25078	
1061	24605	
1062	24908	
1063	24853	
1064	24606	
1065	25064	
1066	24974	
1067	25016	
1068	25234	
1069	25055	
1070	24801	
1071	24854	
1072	24851	
1073	24515	
1074	24876	
1075	25101	
1076	24619	
1077	24860	
1078	24745	
1079	24954	
1080	24997	
1081	25002	
1082	24933	
1083	24766	
1084	25182	
1085	24864	
1086	25094	
1087	25400	
1088	24956	
1089	24658	
1090	24756	
1091	24773	
1092	24879	
1093	25040	
1094	24894	
1095	25173	
1096	25286	
1097	25010	
1098	24773	
1099	24833	
1100	24971	
1101	25074	
1102	25126	
1103	24990	
1104	25128	
1105	25296	
1106	24854	
1107	25381	
1108	24675	
1109	24871	
1110	25091	
1111	25090	
1112	24769	
1113	25043	
1114	24939	
1115	25229	
1116	25295	
1117	25365	
1118	25137	
1119	25191	
1120	25172	
1121	25278	
1122	25364	
1123	25087	
1124	25378	
1125	24872	
1126	25178	
1127	25320	
1128	25275	
1129	25128	
1130	25200	
1131	25288	
1132	25170	
1133	25535	
1134	25261	
1135	25386	
1136	25433	
1137	25163	
1138	25146	
1139	25131	
1140	25238	
1141	25294	
1142	25298	
1143	25324	
1144	25657	
1145	25426	
1146	25535	
1147	25251	
1148	25602	
1149	25401	
1150	25723	
1151	25751	
1152	25532	
1153	25448	
1154	25582	
1155	25452	
1156	25379	
1157	25404	
1158	25353	
1159	25309	
1160	25607	
1161	25739	
1162	25621	
1163	25301	
1164	25453	
1165	25748	
1166	25666	
1167	25522	
1168	25656	
1169	25807	
1170	25770	
1171	25950	
1172	25557	
1173	25813	
1174	25855	
1175	25942	
1176	25581	
1177	25631	
1178	25861	
1179	25887	
1180	25426	
1181	25578	
1182	26068	
1183	25827	
1184	25825	
1185	25698	
1186	25809	
1187	25897	
1188	25892	
1189	25969	
1190	25683	
1191	26015	
1192	25915	
1193	25908	
1194	25840	
1195	25734	
1196	26041	
1197	26064	
1198	25983	
1199	25899	
1200	26154	
1201	26117	
1202	26163	
1203	26146	
1204	26359	
1205	26213	
1206	25970	
1207	25712	
1208	26088	
1209	25940	
1210	26161	
1211	26047	
1212	26345	
1213	26119	
1214	25949	
1215	26431	
1216	26075	
1217	26091	
1218	26091	
1219	26119	
1220	25931	
1221	26690	
1222	26320	
1223	26287	
1224	26036	
1225	26372	
1226	26303	
1227	26578	
1228	26365	
1229	26361	
1230	26336	
1231	26568	
1232	26472	
1233	26572	
1234	26570	
1235	26776	
1236	26530	
1237	26571	
1238	26646	
1239	26397	
1240	26545	
1241	26493	
1242	26807	
1243	26444	
1244	26422	
1245	26467	
1246	26554	
1247	26641	
1248	26333	
1249	26413	
1250	27104	
1251	27104	
1252	26538	
1253	26376	
1254	27019	
1255	26698	
1256	26758	
1257	27048	
1258	26608	
1259	26775	
1260	26787	
1261	26819	
1262	26782	
1263	26523	
1264	27114	
1265	26966	
1266	27030	
1267	26823	
1268	26760	
1269	26954	
1270	26817	
1271	26993	
1272	26947	
1273	27074	
1274	27014	
1275	27130	
1276	26791	
1277	27207	
1278	27428	
1279	27003	
1280	27176	
1281	26663	
1282	27138	
1283	27175	
1284	27302	
1285	27178	
1286	27274	
1287	27096	
1288	27100	
1289	27314	
1290	26999	
1291	27019	
1292	27341	
1293	27417	
1294	27371	
1295	27200	
1296	27766	
1297	27387	
1298	27268	
1299	27512	
1300	27448	
1301	27431	
1302	27544	
1303	27369	
1304	27464	
1305	27341	
